CONSTITUENCY,STATE,POSTFIX_CODE,INDEX
LOHARDAGA,JHARKHAND,12,155
PALAMU,JHARKHAND,13,156
RAJMAHAL,JHARKHAND,1,157
RANCHI,JHARKHAND,8,158
SINGHBHUM,JHARKHAND,10,159
BAGALKOT,KARNATAKA,3,160
BANGALORE CENTRAL,KARNATAKA,25,161
BANGALORE NORTH,KARNATAKA,24,162
BANGALORE RURAL,KARNATAKA,23,163
BANGALORE SOUTH,KARNATAKA,26,164
BELGAUM,KARNATAKA,2,165
BELLARY,KARNATAKA,9,166
BIDAR,KARNATAKA,7,167
BIJAPUR,KARNATAKA,4,168
CHAMARAJANAGAR,KARNATAKA,22,169
CHIKKBALLAPUR,KARNATAKA,27,170
CHIKKODI,KARNATAKA,1,171
CHITRADURGA,KARNATAKA,18,172
DAKSHINA KANNADA,KARNATAKA,17,173
DAVANAGERE,KARNATAKA,13,174
DHARWAD,KARNATAKA,11,175
GULBARGA,KARNATAKA,5,176
HASSAN,KARNATAKA,16,177
HAVERI,KARNATAKA,10,178
KOLAR,KARNATAKA,28,179
KOPPAL,KARNATAKA,8,180
MANDYA,KARNATAKA,20,181
MYSORE,KARNATAKA,21,182
RAICHUR,KARNATAKA,6,183
SHIMOGA,KARNATAKA,14,184
TUMKUR,KARNATAKA,19,185
UDUPI CHIKMAGALUR,KARNATAKA,15,186
UTTARA KANNADA,KARNATAKA,12,187
ALAPPUZHA,KERALA,15,188
ALATHUR,KERALA,9,189
ATTINGAL,KERALA,19,190
CHALAKUDY,KERALA,11,191
ERNAKULAM,KERALA,12,192
IDUKKI,KERALA,13,193
KANNUR,KERALA,2,194
KASARAGOD,KERALA,1,195
KOLLAM,KERALA,18,196
KOTTAYAM,KERALA,14,197
KOZHIKODE,KERALA,5,198
MALAPPURAM,KERALA,6,199
MAVELIKKARA,KERALA,16,200
PALAKKAD,KERALA,8,201
PATHANAMTHITTA,KERALA,17,202
PONNANI,KERALA,7,203
THIRUVANANTHAPURAM,KERALA,20,204
THRISSUR,KERALA,10,205
VADAKARA,KERALA,3,206
WAYANAD,KERALA,4,207
LAKSHADWEEP,LAKSHADWEEP,1,208
BALAGHAT,MADHYA PRADESH,15,209
BETUL,MADHYA PRADESH,29,210
BHIND,MADHYA PRADESH,2,211
BHOPAL,MADHYA PRADESH,19,212
CHHINDWARA,MADHYA PRADESH,16,213
DAMOH,MADHYA PRADESH,7,214
DEWAS,MADHYA PRADESH,21,215
DHAR,MADHYA PRADESH,25,216
GUNA,MADHYA PRADESH,4,217
GWALIOR,MADHYA PRADESH,3,218
HOSHANGABAD,MADHYA PRADESH,17,219
INDORE,MADHYA PRADESH,26,220
JABALPUR,MADHYA PRADESH,13,221
KHAJURAHO,MADHYA PRADESH,8,222
KHANDWA,MADHYA PRADESH,28,223
KHARGONE,MADHYA PRADESH,27,224
MANDLA,MADHYA PRADESH,14,225
MANDSOUR,MADHYA PRADESH,23,226
MORENA,MADHYA PRADESH,1,227
RAJGARH,MADHYA PRADESH,20,228
RATLAM,MADHYA PRADESH,24,229
REWA,MADHYA PRADESH,10,230
SAGAR,MADHYA PRADESH,5,231
SATNA,MADHYA PRADESH,9,232
SHAHDOL,MADHYA PRADESH,12,233
SIDHI,MADHYA PRADESH,11,234
TIKAMGARH,MADHYA PRADESH,6,235
UJJAIN,MADHYA PRADESH,22,236
VIDISHA,MADHYA PRADESH,18,237
AHMEDNAGAR,MAHARASHTRA,37,238
AKOLA,MAHARASHTRA,6,239
AMRAVATI,MAHARASHTRA,7,240
AURANGABAD,MAHARASHTRA,19,241
BARAMATI,MAHARASHTRA,35,242
BEED,MAHARASHTRA,39,243
BHANDARA GONDIYA,MAHARASHTRA,11,244
BHIWANDI,MAHARASHTRA,23,245
BULDHANA,MAHARASHTRA,5,246
CHANDRAPUR,MAHARASHTRA,13,247
DHULE,MAHARASHTRA,2,248
DINDORI,MAHARASHTRA,20,249
GADCHIROLI CHIMUR,MAHARASHTRA,12,250
HATKANANGLE,MAHARASHTRA,48,251
HINGOLI,MAHARASHTRA,15,252
JALGAON,MAHARASHTRA,3,253
JALNA,MAHARASHTRA,18,254
KALYAN,MAHARASHTRA,24,255
KOLHAPUR,MAHARASHTRA,47,256
LATUR,MAHARASHTRA,41,257
MADHA,MAHARASHTRA,43,258
MAVAL,MAHARASHTRA,33,259
MUMBAI NORTH,MAHARASHTRA,26,260
MUMBAI NORTH CENTRAL,MAHARASHTRA,29,261
MUMBAI NORTH EAST,MAHARASHTRA,28,262
MUMBAI NORTH WEST,MAHARASHTRA,27,263
MUMBAI SOUTH,MAHARASHTRA,31,264
MUMBAI SOUTH CENTRAL,MAHARASHTRA,30,265
NAGPUR,MAHARASHTRA,10,266
NANDED,MAHARASHTRA,16,267
NANDURBAR,MAHARASHTRA,1,268
NASHIK,MAHARASHTRA,21,269
OSMANABAD,MAHARASHTRA,40,270
PALGHAR,MAHARASHTRA,22,271
PARBHANI,MAHARASHTRA,17,272
PUNE,MAHARASHTRA,34,273
RAIGAD,MAHARASHTRA,32,274
RAMTEK,MAHARASHTRA,9,275
RATNAGIRI SINDHUDURG,MAHARASHTRA,46,276
RAVER,MAHARASHTRA,4,277
SANGLI,MAHARASHTRA,44,278
SATARA,MAHARASHTRA,45,279
SHIRDI,MAHARASHTRA,38,280
SHIRUR,MAHARASHTRA,36,281
SOLAPUR,MAHARASHTRA,42,282
THANE,MAHARASHTRA,25,283
WARDHA,MAHARASHTRA,8,284
YAVATMAL WASHIM,MAHARASHTRA,14,285
INNER MANIPUR,MANIPUR,1,286
OUTER MANIPUR,MANIPUR,1,287
SHILLONG,MEGHALAYA,1,288
TURA,MEGHALAYA,2,289
MIZORAM,MIZORAM,1,290
NAGALAND,NAGALAND,1,291
CHANDNI CHOWK,NATIONAL CAPITAL TERRITORY OF DELHI,1,292
EAST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,3,293
NEW DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,4,294
NORTH EAST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,2,295
NORTH WEST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,5,296
SOUTH DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,7,297
WEST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,6,298
ASKA,ODISHA,19,299
BALASORE,ODISHA,6,300
BARGARH,ODISHA,1,301
BERHAMPUR,ODISHA,20,302
BHADRAK,ODISHA,7,303
BHUBANESWAR,ODISHA,18,304
BOLANGIR,ODISHA,10,305
CUTTACK,ODISHA,14,306
DHENKANAL,ODISHA,9,307
JAGATSINGHPUR,ODISHA,16,308
JAJPUR,ODISHA,8,309
KALAHANDI,ODISHA,11,310
KANDHAMAL,ODISHA,13,311
KENDRAPARA,ODISHA,15,312
KEONJHAR,ODISHA,4,313
KORAPUT,ODISHA,21,314
MAYURBHANJ,ODISHA,5,315
NABARANGPUR,ODISHA,12,316
PURI,ODISHA,17,317
SAMBALPUR,ODISHA,3,318
SUNDARGARH,ODISHA,2,319
PUDUCHERRY,PUDUCHERRY,1,320
AMRITSAR,PUNJAB,2,321
ANANDPUR SAHIB,PUNJAB,6,322
BATHINDA,PUNJAB,11,323
FARIDKOT,PUNJAB,9,324
FATEHGARH SAHIB,PUNJAB,8,325
FIROZPUR,PUNJAB,10,326
GURDASPUR,PUNJAB,1,327
HOSHIARPUR,PUNJAB,5,328
JALANDHAR,PUNJAB,4,329
KHADOOR SAHIB,PUNJAB,3,330
LUDHIANA,PUNJAB,7,331
PATIALA,PUNJAB,13,332
SANGRUR,PUNJAB,12,333
SANGRUR,PUNJAB,12,334
AJMER,RAJASTHAN,13,335
ALWAR,RAJASTHAN,8,336
BANSWARA,RAJASTHAN,20,337
BARMER,RAJASTHAN,17,338
BHARATPUR,RAJASTHAN,9,339
BHILWARA,RAJASTHAN,23,340
BIKANER,RAJASTHAN,2,341
CHITTORGARH,RAJASTHAN,21,342
CHURU,RAJASTHAN,3,343
DAUSA,RAJASTHAN,11,344
GANGANAGAR,RAJASTHAN,1,345
JAIPUR,RAJASTHAN,7,346
JAIPUR RURAL,RAJASTHAN,6,347
JALORE,RAJASTHAN,18,348
JHALAWAR BARAN,RAJASTHAN,25,349
JHUNJHUNU,RAJASTHAN,4,350
JODHPUR,RAJASTHAN,16,351
KARAULI DHOLPUR,RAJASTHAN,10,352
KOTA,RAJASTHAN,24,353
NAGAUR,RAJASTHAN,14,354
PALI,RAJASTHAN,15,355
RAJSAMAND,RAJASTHAN,22,356
SIKAR,RAJASTHAN,5,357
TONK SAWAI MADHOPUR,RAJASTHAN,12,358
UDAIPUR,RAJASTHAN,19,359
