CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES
8487,Vaghela Ganeshbhai Narsinhbhai,59,AHMEDABAD EAST,GUJARAT,BSP,0,12th Pass,70910239.0,0.7931,0.048,3,2,2,0.0045,1
10034,Sharma Brijeshkumar Ujagarlal,38,AHMEDABAD EAST,GUJARAT,IND,0,Graduate,26800.0,0.7931,0.048,1,4,3,0.0045,1
9372,Devda Dasharath Misarilal,55,AHMEDABAD EAST,GUJARAT,IND,1,5th Pass,65000.0,0.7931,0.048,1,2,0,0.0045,1
9375,Samirbhai Rajeshbhai Upadhyay,37,AHMEDABAD EAST,GUJARAT,Manvadhikar National Party,0,8th Pass,95000.0,0.7931,0.048,1,4,0,0.0045,1
9378,Jayswal Nareshkumar Babulal,28,AHMEDABAD EAST,GUJARAT,IND,0,10th Pass,562000.0,0.7931,0.048,1,5,1,0.0045,1
9383,Dr. Hiteshkumar Mahendrabhai,38,AHMEDABAD EAST,GUJARAT,Nirbhay Bharteey Party,0,Graduate Professional,3333565.0,0.7931,0.048,1,4,3,0.0045,1
9386,Patel Hasmukhbhai Somabhai,58,AHMEDABAD EAST,GUJARAT,BJP,0,Others,68447113.0,0.7931,0.048,3,2,0,0.0045,1
9395,Jadav Ulpesh Jyantilal,37,AHMEDABAD WEST,GUJARAT,Peoples Party of India (Democratic),0,Post Graduate,550105.0,0.7931,0.048,1,4,4,0.0045,1
8488,Dr. Solanki Kiritbhai,69,AHMEDABAD WEST,GUJARAT,BJP,0,Post Graduate,89474039.0,0.7931,0.048,3,1,4,0.0045,1
10038,Mahedia Mahendrabhai Parsottamdas,62,AHMEDABAD WEST,GUJARAT,IND,1,Graduate,13782000.0,0.7931,0.048,1,1,3,0.0045,1
9390,Chauhan Harishbhai Jethabhai,40,AHMEDABAD WEST,GUJARAT,Rashtriya Power Party,0,Graduate Professional,3293451.0,0.7931,0.048,1,3,3,0.0045,1
9393,Solanki Chiragbhai Somabhai,59,AHMEDABAD WEST,GUJARAT,Jan Satya Path Party,0,Graduate Professional,447440.0,0.7931,0.048,1,2,3,0.0045,1
