CANDIDATE_ID,CANDIDATE_NAME,AGE_GROUP_INDEX,CONSTITUENCY_INDEX,STATE_INDEX,PARTY_INDEX,NO_PENDING_CRIMINAL_CASES,EARNINGS_POINTS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX_INDEX,VOTING_PERCENTAGE
4783,VYRICHERLA KISHORE CHANDRA SURYANARAYANA DEO,1,5,2,637,0,1,0.674,0.046,2,4,0.0524,1,0,0,0.3146
4787,VAMPURU GANGULAIAH,3,5,2,288,3,0,0.674,0.046,1,1,0.0524,1,0,0,0.0398
4785,DR. KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY KOSURI,2,5,2,187,0,0,0.674,0.046,3,5,0.0524,1,0,0,0.0166
4687,SHRUTI DEVI VYRICHERLA,3,5,2,243,0,1,0.674,0.046,3,3,0.0524,1,0,1,0.0165
6173,KANGALA BALADORA,1,5,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0129
6176,NARAVA SATYAVATHI,4,5,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,1,0.0105
6174,ANUMULA VAMSI KRISHNA,3,5,2,244,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0095
6172,BIDDIKA RAMAIAH,2,5,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0073
4786,SWAMULA SUBRAHAMANYAM,2,5,2,286,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0044
5048,SURESH BABU NANDIGAM,3,6,2,675,0,0,0.674,0.046,2,0,0.0524,1,0,0,0.4724
5047,MALYADRI SRIRAM,1,6,2,637,0,1,0.674,0.046,2,4,0.0524,1,1,0,0.4597
6306,KANTHIRAJ DEVANAND,1,6,2,189,0,0,0.674,0.046,3,4,0.0524,1,0,0,0.0336
5046,JESUDASU SEELAM,1,6,2,243,0,0,0.674,0.046,3,4,0.0524,1,0,0,0.0104
6307,CHALLAGALI KISHORE KUMAR,3,6,2,187,1,0,0.674,0.046,3,3,0.0524,1,0,0,0.0082
6309,BUSSA NAGARAJU,5,6,2,244,1,0,0.674,0.046,1,0,0.0524,1,0,0,0.0015
7206,GOLLA BABURAO,3,6,2,244,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.001
5045,KATTEPOGU VIJAY KUMAR,2,6,2,454,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0007
6310,GELLA NAGAMALLI,4,6,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,1,0.0005
4730,NUTHAKKI RAMA RAO,1,6,2,55,0,1,0.674,0.046,1,4,0.0524,1,0,0,0.0005
6308,GADDE HARIBABU,3,6,2,405,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0004
6305,CHINA NAGESWARA RAO SADHU,4,6,2,375,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0004
7207,THUMATI RAVI,3,6,2,61,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0003
4820,N. REDDEPPA,1,7,2,675,0,0,0.674,0.046,2,4,0.0524,1,0,0,0.5205
4819,NARAMALLI SIVA PRASAD,1,7,2,637,0,1,0.674,0.046,2,3,0.0524,1,1,0,0.4165
4822,CHEEMALA. RANGAPPA,1,7,2,243,0,0,0.674,0.046,3,3,0.0524,1,0,0,0.0187
6280,C. PUNYAMURTHY,3,7,2,189,4,0,0.674,0.046,3,0,0.0524,1,0,0,0.0152
6281,JAYARAM DUGGANI,1,7,2,187,0,0,0.674,0.046,3,3,0.0524,1,0,0,0.008
4821,PALLIPATTU. ABHINAV VISHNU,5,7,2,375,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0026
6282,A. HEMANTH,5,7,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0016
6283,P. RAMACHANDRAN,3,7,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0014
4682,SRIDHAR KOTAGIRI,3,8,2,675,0,0,0.674,0.046,2,3,0.0524,1,0,0,0.5097
4790,MAGANTI VENKATESWARA RAO,2,8,2,637,1,0,0.674,0.046,2,1,0.0524,1,0,0,0.3847
6244,GURUNADHA RAO JETTI,2,8,2,243,0,1,0.674,0.046,3,3,0.0524,1,0,0,0.0153
6241,CHINNAM RAMA KOTAYYA,2,8,2,187,0,0,0.674,0.046,3,1,0.0524,1,0,0,0.0063
6242,MENDEM SANTHOSH KUMAR,3,8,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0023
4620,JOSYULA CHINA VENKATA SURYANARAYANA,1,8,2,454,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0022
6246,MATHE BOBBY,5,8,2,556,0,0,0.674,0.046,1,2,0.0524,1,0,0,0.0014
6243,ALAGA RAVI KUMAR,3,8,2,244,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0012
6245,V SIVA RAMA KRISHNA,2,8,2,286,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0009
5037,JAYADEV GALLA,1,9,2,637,0,0,0.674,0.046,2,3,0.0524,1,1,0,0.435
5038,MODUGULA VENUGOPALA REDDY,1,9,2,675,3,0,0.674,0.046,2,3,0.0524,1,0,0,0.4319
6289,BONABOYINA SRINIVASA RAO,1,9,2,288,1,0,0.674,0.046,1,1,0.0524,1,0,0,0.0956
6268,SHAIK MASTANVALI,1,9,2,243,1,0,0.674,0.046,3,4,0.0524,1,0,0,0.0105
5041,JAYAPRAKASH NARAYANA VALLURU,1,9,2,187,0,0,0.674,0.046,3,3,0.0524,1,0,0,0.0088
5040,MANNAVA HARIPRASAD,1,9,2,199,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0024
6265,DASARI KIRAN BABU,1,9,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0022
6290,UMAR BASHA SHAIK,1,9,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.002
6294,YANAMADALA VENKATA SURESH,1,9,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0014
6293,RAMARAO SIMHADRI,1,9,2,437,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0013
6291,SARABANDI RAJU SIKHINAM,1,9,2,251,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0008
4800,ARAVETI HAZARATH RAO,1,9,2,454,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0006
6295,JACOB VIDYASAGAR NAKKA,1,9,2,662,2,0,0.674,0.046,1,4,0.0524,1,0,0,0.0005
6264,DOPPALAPUDI VEERA DAS,1,9,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0005
6269,SAMUDRALA CHINNA KOTAIAH,1,9,2,382,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0005
4622,SHAIK JALEEL,1,9,2,400,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0004
6292,ULLAGI DAVID JAYAKUMAR,1,9,2,230,0,0,0.674,0.046,1,5,0.0524,1,0,0,0.0003
6266,JELDI RAJA MOHAN,1,9,2,55,0,0,0.674,0.046,1,2,0.0524,1,0,0,0.0003
